predator,location,group,source_excel_row,n_AB_calls,n_A,n_B,prop_B,first_AB_call,first_B_position,n_bigrams,prop_AA,prop_AB,prop_BA,prop_BB
raptor,canopy,A,2,29,29,0,0.0,A,,27,1.0,0.0,0.0,0.0
raptor,canopy,D,3,19,19,0,0.0,A,,18,1.0,0.0,0.0,0.0
raptor,canopy,M,4,30,30,0,0.0,A,,29,1.0,0.0,0.0,0.0
raptor,canopy,P,5,30,30,0,0.0,A,,29,1.0,0.0,0.0,0.0
raptor,canopy,R,6,26,26,0,0.0,A,,22,1.0,0.0,0.0,0.0
raptor,ground,A,8,27,22,5,0.18518518518518517,A,23,25,0.84,0.04,0.0,0.12
raptor,ground,D,10,30,15,15,0.5,A,2,29,0.4482758620689655,0.06896551724137931,0.034482758620689655,0.4482758620689655
raptor,ground,M,11,30,30,0,0.0,A,,29,1.0,0.0,0.0,0.0
raptor,ground,P,13,28,22,6,0.21428571428571427,A,5,25,0.72,0.08,0.04,0.16
raptor,ground,R,14,30,21,9,0.3,A,19,29,0.6551724137931034,0.06896551724137931,0.034482758620689655,0.2413793103448276
oncilla,ground,A,16,30,0,30,1.0,B,1,29,0.0,0.0,0.0,1.0
oncilla,ground,D,17,30,0,30,1.0,B,1,29,0.0,0.0,0.0,1.0
oncilla,ground,M,18,30,0,30,1.0,B,1,29,0.0,0.0,0.0,1.0
oncilla,ground,P,19,30,0,30,1.0,B,1,29,0.0,0.0,0.0,1.0
oncilla,ground,R,20,30,0,30,1.0,B,1,29,0.0,0.0,0.0,1.0
oncilla,canopy,A,22,30,1,29,0.9666666666666667,A,2,29,0.0,0.034482758620689655,0.0,0.9655172413793104
oncilla,canopy,D,23,30,1,29,0.9666666666666667,A,2,29,0.0,0.034482758620689655,0.0,0.9655172413793104
oncilla,canopy,M,24,30,1,29,0.9666666666666667,A,2,29,0.0,0.034482758620689655,0.0,0.9655172413793104
oncilla,canopy,P,25,30,1,29,0.9666666666666667,A,2,29,0.0,0.034482758620689655,0.0,0.9655172413793104
oncilla,canopy,R,26,30,18,12,0.4,A,4,29,0.41379310344827586,0.20689655172413793,0.1724137931034483,0.20689655172413793
